,season,Var.4,Visitor/Neutral,PTS,Home/Neutral,PTS.1,playoffs
46837,2007,Box Score,Washington Wizards,108,Denver Nuggets,117,0
46838,2007,Box Score,Seattle SuperSonics,126,Memphis Grizzlies,134,0
46839,2007,Box Score,New Orleans/Oklahoma City Hornets,99,Miami Heat,101,0
46840,2007,Box Score,Golden State Warriors,97,New Jersey Nets,105,0
46841,2007,Box Score,Utah Jazz,96,New York Knicks,97,0
46842,2007,Box Score,Dallas Mavericks,109,Sacramento Kings,91,0
46843,2007,Box Score,Los Angeles Lakers,89,Chicago Bulls,94,0
46844,2007,Box Score,Toronto Raptors,98,Phoenix Suns,115,0
46845,2007,Box Score,Utah Jazz,112,Atlanta Hawks,106,0
46846,2007,Box Score,Golden State Warriors,96,Boston Celtics,95,0
46847,2007,Box Score,Toronto Raptors,98,Los Angeles Clippers,96,0
46848,2007,Box Score,Miami Heat,95,Milwaukee Bucks,121,0
46849,2007,Box Score,Los Angeles Lakers,111,Minnesota Timberwolves,94,0
46850,2007,Box Score,Cleveland Cavaliers,111,New Jersey Nets,113,0
46851,2007,Box Score,Charlotte Bobcats,109,New York Knicks,111,0
46852,2007,Box Score,New Orleans/Oklahoma City Hornets,83,Orlando Magic,86,0
46853,2007,Box Score,Indiana Pacers,101,Philadelphia 76ers,93,0
46854,2007,Box Score,Houston Rockets,87,Portland Trail Blazers,89,0
46855,2007,Box Score,Memphis Grizzlies,98,San Antonio Spurs,105,0
46856,2007,Box Score,Dallas Mavericks,103,Seattle SuperSonics,95,0
